UserID;BookID;Rating;Timestamp
8;2;3;978212494
11676;2;4;978212495
2954;3;4;978212496
11676;6;5;978212497
29526;6;5;978212498
11676;8;4;978212499
1131;1488;4;978216599
1131;1489;4;978216600
4570;1489;4;978216601
16634;1489;4;978216602
22936;1489;5;978216603
1131;1490;3;978216604
1733;1490;3;978216605
10829;1490;4;978216606
11676;1490;4;978216607
16996;1490;4;978216608
1131;1491;4;978216609
9123;1491;4;978216610
21620;1491;5;978216611
8245;1492;4;978216612
11676;1492;4;978216613
16795;1492;3;978216614
17906;1492;4;978216615
22038;1492;5;978216616
2337;1494;4;978216617
5582;1494;5;978216618
15459;1494;4;978216619
15602;1494;4;978216620
26553;1494;3;978216621
929;1495;3;978216622
2379;1495;4;978216623
8362;1495;5;978216624
10153;1495;5;978216625
11676;1495;4;978216626
11944;1495;3;978216627
12775;1495;5;978216628
17906;1495;3;978216629
20060;1495;4;978216630
28096;1495;4;978216631
1131;1496;4;978216632
21618;1496;5;978216633
1131;1497;4;978216634
1433;1497;2;978216635
1718;1497;4;978216636
4183;1497;3;978216637
6563;1497;5;978216638
7125;1497;4;978216639
7283;1497;4;978216640
7820;1497;4;978216641
8066;1497;4;978216642
8454;1497;4;978216643
10314;1497;5;978216644
10560;1497;4;978216645
11400;1497;4;978216646
11676;1497;4;978216647
13552;1497;5;978216648
14422;1497;5;978216649
15602;1497;5;978216650
16718;1497;5;978216651
16795;1497;5;978216652
17761;1497;4;978216653
21264;1497;3;978216654
21840;1497;5;978216655
22338;1497;4;978216656
22614;1497;4;978216657
23768;1497;4;978216658
23933;1497;4;978216659
24558;1497;4;978216660
24932;1497;5;978216661
25103;1497;3;978216662
25409;1497;5;978216663
26621;1497;4;978216664
28647;1497;5;978216665
28897;1497;4;978216666
1131;1499;4;978216667
1131;1500;4;978216668
22464;1500;4;978216669
28448;1500;4;978216670
2977;1501;2;978216671
6073;1501;4;978216672
8681;1501;4;978216673
2559;1502;2;978216674
7268;1502;3;978216675
11676;1502;4;978216676
14302;1502;5;978216677
22338;1502;4;978216678
22495;1502;3;978216679
1131;1504;3;978216680
27169;1504;4;978216681
1131;1505;4;978216682
3917;1505;4;978216683
18679;1505;5;978216684
21364;1505;5;978216685
23902;1505;5;978216686
1131;1506;3;978216687
1249;1506;4;978216688
26231;1506;4;978216689
27891;1506;4;978216690
1131;1507;4;978216691
9876;1507;4;978216692
11676;1507;2;978216693
21618;1507;5;978216694
22562;1507;4;978216695
1131;1508;4;978216696
10447;1508;3;978216697
11676;1508;4;978216698
15475;1508;4;978216699
17190;1508;5;978216700
28177;1508;5;978216701
8245;1509;4;978216702
21026;1509;4;978216703
23902;1509;4;978216704
1131;1510;3;978216705
15957;1510;5;978216706
23902;1510;4;978216707
26487;1510;2;978216708
8066;1511;4;978216709
11676;1511;3;978216710
1131;1512;4;978216711
1548;1512;4;978216712
5294;1512;2;978216713
6242;1512;4;978216714
6575;1512;4;978216715
8066;1512;5;978216716
9141;1512;5;978216717
10269;1512;5;978216718
11676;1512;4;978216719
12417;1512;4;978216720
12676;1512;5;978216721
15418;1512;5;978216722
18502;1512;4;978216723
20180;1512;4;978216724
27329;1512;5;978216725
4017;1513;5;978216726
1131;1514;4;978216727
5539;1515;5;978216728
8253;1515;4;978216729
8681;1515;5;978216730
11676;1515;4;978216731
22975;1515;5;978216732
23872;1515;5;978216733
2077;1516;3;978216734
25981;1517;3;978216735
3977;1518;5;978216736
4196;1518;5;978216737
6789;1518;5;978216738
10314;1518;3;978216739
10447;1518;5;978216740
13280;1518;4;978216741
19664;1518;4;978216742
19689;1518;4;978216743
21014;1518;4;978216744
21252;1518;4;978216745
26535;1518;3;978216746
28177;1518;4;978216747
28292;1518;5;978216748
1131;1519;4;978216749
2288;1519;4;978216750
3371;1519;5;978216751
4386;1519;4;978216752
11676;1519;4;978216753
16488;1519;4;978216754
16795;1519;5;978216755
20180;1519;5;978216756
21014;1519;4;978216757
21031;1519;5;978216758
