UserID;SongID;Rating
1;3342;5
1;7522;1
2;10438;3
3;1666;1
4;1539;5
5;8063;2
6;2323;4
6;18878;4
8;11219;5
8;14707;5
10;11091;4
10;19275;3
11;13125;3
12;10663;4
13;726;3
14;10678;5
14;15769;4
15;12861;2
16;1905;3
16;3206;3
16;13938;5
18;3432;5
18;13002;5
18;15813;5
19;16544;4
20;19670;1
21;319;1
21;12447;1
21;15099;5
23;10823;5
24;9076;5
24;16681;4
24;17699;4
25;1652;2
25;3418;4
25;14203;5
26;1774;4
26;5618;3
26;14078;4
27;13683;2
28;19306;3
29;1244;1
29;2533;2
30;5044;5
31;1815;5
31;17355;5
32;5428;5
32;16826;4
33;15301;5
33;18706;3
35;9071;5
35;14188;4
37;1457;2
37;8276;2
37;14435;2
38;8750;5
39;8644;1
39;12188;4
40;17585;5
41;5330;1
42;15444;5
43;4908;5
44;5772;5
45;7667;5
45;19849;5
47;2135;1
47;13773;2
48;4043;3
48;16790;4
49;866;1
49;14467;3
49;16740;5
49;17888;1
50;10119;1
50;11525;5
50;18051;5
51;10935;1
53;12102;1
53;12773;3
54;2245;5
54;9065;2
54;13651;1
54;17511;2
55;1048;1
55;10773;1
56;1840;5
56;7923;5
56;13417;5
57;5542;5
57;12447;5
57;19690;5
58;15503;3
59;14312;5
60;18558;1
60;18605;3
61;4881;5
61;11539;1
61;12725;5
62;1048;5
62;5674;4
62;19318;4
63;15251;1
63;16322;5
64;17426;4
65;6516;5
65;9694;1
66;17355;5
67;13938;5
68;15430;5
69;926;5
70;1831;5
70;1898;5
70;14956;5
71;11922;2
72;15503;5
72;19920;3
73;14752;5
74;18834;3
75;9317;2
75;16716;1
77;7976;3
79;2291;5
79;19248;3
79;19984;5
80;18161;4
81;1826;3
81;8658;2
82;4146;3
82;6248;4
83;17227;1
85;911;4
86;1132;5
86;19477;5
87;3685;5
87;8505;5
87;17312;5
88;3199;2
89;18161;3
90;19593;5
91;3058;1
92;12568;5
92;19290;5
94;10209;5
95;2909;1
95;10296;2
95;10714;1
96;1395;5
97;578;5
97;2705;5
98;15938;2
98;17742;3
100;5314;1
100;8158;4
100;9227;1
101;4866;1
104;19105;4
106;1852;4
107;9837;4
107;17227;1
108;12714;5
108;15041;5
109;16794;3
109;17746;3
111;14372;5
112;14933;5
112;19290;5
113;2798;5
113;6337;5
114;2552;5
114;3987;2
114;16548;4
115;12408;1
116;11679;1
116;15635;2
117;2126;4
117;16719;5
119;259;1
119;4381;3
119;14648;2
120;6337;5
120;13873;5
121;7633;1
122;13843;1
122;16794;1
123;16578;3
124;11855;4
125;4786;4
125;8845;4
126;7487;2
126;14402;1
126;19570;2
126;19604;4
127;10887;1
127;19090;1
128;12872;5
131;4453;4
131;17848;5
132;910;5
132;5861;1
132;11396;5
133;345;5
133;413;5
133;9681;1
134;9362;1
135;19235;4
136;4943;1
136;4976;5
136;10867;5
136;11912;3
136;17410;3
137;8063;2
139;12180;1
139;19102;4
140;4453;5
140;17032;5
141;10472;5
141;13094;5
142;9021;5
142;12894;5
143;911;4
143;6248;5
144;9539;5
144;17962;1
145;14451;1
145;17320;5
147;15769;5
147;18937;5
148;15487;5
149;12331;5
149;13644;5
150;4566;3
150;14998;5
151;4889;1
152;413;1
152;13859;5
152;15597;2
153;14193;2
154;8063;5
154;18424;4
156;5003;1
156;10103;2
156;12513;1
157;4692;5
158;18812;5
159;7002;1
160;4881;5
160;17497;5
161;776;3
161;13859;3
162;18663;4
164;619;5
165;3507;1
166;2726;2
166;12575;5
166;19441;5
167;4755;4
167;7505;1
167;17967;1
167;19299;5
169;7000;1
169;18927;1
169;19655;1
170;605;3
170;17909;5
171;14794;5
172;3320;3
172;4933;5
172;9488;5
172;13674;1
173;7240;4
174;2552;4
177;9033;4
177;9336;4
177;14641;5
178;1815;3
178;3063;4
179;107;1
179;208;1
179;16550;5
181;9441;2
181;12130;2
182;8307;1
183;6151;2
183;9507;1
184;9114;1
185;843;5
185;6254;3
185;18161;3
186;13323;5
187;13142;5
188;1682;2
188;5102;2
189;9586;1
190;7167;4
191;1653;1
191;17369;1
192;9253;5
192;11386;5
193;3525;1
193;10454;1
193;18878;5
194;568;5
194;7323;5
195;2033;3
195;2111;3
195;18137;2
198;783;5
199;12709;5
199;14284;2
199;14933;2
199;16765;5
201;12863;3
201;15635;4
201;17678;5
202;18546;4
203;10538;4
203;12412;4
204;6387;2
204;7806;3
204;12513;5
204;16751;1
205;17559;5
206;15486;5
206;19639;3
207;19062;3
207;19673;4
208;2263;5
208;8940;3
208;14698;3
208;17910;2
209;9751;5
210;34;5
210;14681;4
211;14625;1
213;11291;1
214;9539;4
215;7109;1
215;12211;4
216;16220;5
217;3572;3
217;17408;3
219;14080;5
219;19362;2
221;9092;5
222;9241;5
223;16410;1
223;17355;1
225;3805;4
225;10207;3
226;17029;5
227;8661;1
227;13663;4
227;18279;4
228;9550;5
228;13938;5
228;14096;5
230;10854;3
230;14425;2
230;17705;2
231;2726;5
231;17355;4
232;5788;5
232;19169;5
233;3512;1
233;4665;1
233;9794;1
234;69;5
234;3874;4
235;6065;5
235;17355;5
